CH1 Voltage	CH1 Current	CH1 Time	CH2 Voltage	CH2 Current	CH2 Time
1,1,860	-1.27E-04	1.46E-09	1.74E+02	3.61E+01	-1.14E-05	1.74E+02
1,1,861	-1.22E-04	1.47E-09	1.74E+02	3.61E+01	-1.11E-05	1.74E+02
1,1,862	-1.22E-04	1.49E-09	1.74E+02	3.62E+01	-5.58E-06	1.74E+02
1,1,863	-1.21E-04	1.53E-09	1.74E+02	3.62E+01	1.45E-06	1.74E+02
1,1,864	-1.21E-04	1.54E-09	1.75E+02	3.62E+01	7.92E-06	1.75E+02
1,1,865	-1.24E-04	1.55E-09	1.75E+02	3.63E+01	1.16E-05	1.75E+02
1,1,866	-1.16E-04	1.54E-09	1.75E+02	3.63E+01	1.18E-05	1.75E+02
1,1,867	-1.25E-04	1.50E-09	1.75E+02	3.64E+01	7.01E-06	1.75E+02
1,1,868	-1.23E-04	1.49E-09	1.75E+02	3.64E+01	-1.72E-07	1.75E+02
1,1,869	-1.24E-04	1.53E-09	1.76E+02	3.65E+01	-1.12E-05	1.76E+02
1,1,870	-1.23E-04	1.51E-09	1.76E+02	3.65E+01	-5.77E-06	1.76E+02
1,1,871	-1.21E-04	1.50E-09	1.76E+02	3.65E+01	1.03E-06	1.76E+02
1,1,872	-1.26E-04	1.45E-09	1.76E+02	3.66E+01	1.17E-05	1.76E+02
1,1,873	-1.17E-04	1.53E-09	1.76E+02	3.66E+01	1.18E-05	1.76E+02
1,1,874	-1.23E-04	1.55E-09	1.77E+02	3.67E+01	-1.10E-05	1.77E+02
1,1,875	-1.23E-04	1.56E-09	1.77E+02	3.67E+01	-1.13E-05	1.77E+02
1,1,876	-1.19E-04	1.52E-09	1.77E+02	3.68E+01	-6.99E-06	1.77E+02
1,1,877	-1.25E-04	1.52E-09	1.77E+02	3.68E+01	-4.40E-07	1.77E+02
1,1,878	-1.20E-04	1.45E-09	1.77E+02	3.68E+01	7.22E-06	1.77E+02
1,1,879	-1.26E-04	1.44E-09	1.78E+02	3.69E+01	1.02E-05	1.78E+02
1,1,880	-1.24E-04	1.41E-09	1.78E+02	3.69E+01	3.46E-06	1.78E+02
1,1,881	-1.23E-04	1.42E-09	1.78E+02	3.70E+01	-4.04E-06	1.78E+02
1,1,882	-1.24E-04	1.40E-09	1.78E+02	3.70E+01	-9.45E-06	1.78E+02
1,1,883	-1.18E-04	1.45E-09	1.78E+02	3.70E+01	-1.23E-05	1.78E+02
1,1,884	-1.24E-04	1.43E-09	1.79E+02	3.71E+01	-9.83E-06	1.79E+02
1,1,885	-1.19E-04	1.40E-09	1.79E+02	3.71E+01	-3.40E-06	1.79E+02
1,1,886	-1.23E-04	1.41E-09	1.79E+02	3.72E+01	3.76E-06	1.79E+02
1,1,887	-1.21E-04	1.42E-09	1.79E+02	3.72E+01	9.20E-06	1.79E+02
1,1,888	-1.22E-04	1.31E-09	1.79E+02	3.73E+01	1.24E-05	1.79E+02
1,1,889	-1.25E-04	1.29E-09	1.80E+02	3.73E+01	1.04E-05	1.80E+02
1,1,890	-1.21E-04	1.25E-09	1.80E+02	3.73E+01	3.78E-06	1.80E+02
1,1,891	-1.25E-04	1.25E-09	1.80E+02	3.74E+01	-3.75E-06	1.80E+02
1,1,892	-1.21E-04	1.46E-09	1.80E+02	3.74E+01	-9.32E-06	1.80E+02
1,1,893	-1.23E-04	1.26E-09	1.80E+02	3.75E+01	-1.23E-05	1.80E+02
1,1,894	-1.22E-04	1.27E-09	1.81E+02	3.75E+01	-9.86E-06	1.81E+02
1,1,895	-1.20E-04	1.21E-09	1.81E+02	3.75E+01	-3.44E-06	1.81E+02
1,1,896	-1.23E-04	1.22E-09	1.81E+02	3.76E+01	3.74E-06	1.81E+02
1,1,897	-1.19E-04	1.25E-09	1.81E+02	3.76E+01	9.23E-06	1.81E+02
1,1,898	-1.25E-04	1.13E-09	1.81E+02	3.77E+01	1.23E-05	1.81E+02
1,1,899	-1.22E-04	1.11E-09	1.82E+02	3.77E+01	1.10E-05	1.82E+02
1,1,900	-1.22E-04	1.08E-09	1.82E+02	3.78E+01	4.77E-06	1.82E+02
1,1,901	-1.25E-04	1.08E-09	1.82E+02	3.78E+01	-2.41E-06	1.82E+02
1,1,902	-1.21E-04	1.07E-09	1.82E+02	3.78E+01	-8.13E-06	1.82E+02
1,1,903	-1.23E-04	1.09E-09	1.82E+02	3.79E+01	-1.18E-05	1.82E+02
1,1,904	-1.20E-04	1.06E-09	1.83E+02	3.79E+01	-1.03E-05	1.83E+02
1,1,905	-1.20E-04	1.04E-09	1.83E+02	3.80E+01	-3.68E-06	1.83E+02
1,1,906	-1.21E-04	1.04E-09	1.83E+02	3.80E+01	3.23E-06	1.83E+02
1,1,907	-1.19E-04	1.04E-09	1.83E+02	3.81E+01	8.81E-06	1.83E+02
1,1,908	-1.24E-04	1.05E-09	1.83E+02	3.81E+01	1.22E-05	1.83E+02
1,1,909	-1.18E-04	9.64E-10	1.84E+02	3.81E+01	1.12E-05	1.84E+02
1,1,910	-1.24E-04	9.66E-10	1.84E+02	3.82E+01	5.18E-06	1.84E+02
1,1,911	-1.23E-04	9.54E-10	1.84E+02	3.82E+01	-2.04E-06	1.84E+02
1,1,912	-1.22E-04	9.49E-10	1.84E+02	3.83E+01	-7.91E-06	1.84E+02
1,1,913	-1.25E-04	9.66E-10	1.84E+02	3.83E+01	-1.17E-05	1.84E+02
1,1,914	-1.19E-04	9.56E-10	1.85E+02	3.83E+01	-1.08E-05	1.85E+02
1,1,915	-1.21E-04	9.69E-10	1.85E+02	3.84E+01	-4.77E-06	1.85E+02
1,1,916	-1.20E-04	9.44E-10	1.85E+02	3.84E+01	2.67E-06	1.85E+02
1,1,917	-1.21E-04	9.37E-10	1.85E+02	3.85E+01	8.43E-06	1.85E+02
1,1,918	-1.21E-04	9.66E-10	1.85E+02	3.85E+01	1.21E-05	1.85E+02
1,1,919	-1.19E-04	8.66E-10	1.86E+02	3.86E+01	1.15E-05	1.86E+02
1,1,920	-1.25E-04	8.69E-10	1.86E+02	3.86E+01	5.55E-06	1.86E+02
1,1,921	-1.22E-04	8.63E-10	1.86E+02	3.86E+01	-1.47E-06	1.86E+02
1,1,922	-1.24E-04	8.73E-10	1.86E+02	3.87E+01	-7.64E-06	1.86E+02
1,1,923	-1.24E-04	8.77E-10	1.86E+02	3.87E+01	-1.18E-05	1.86E+02
1,1,924	-1.19E-04	8.75E-10	1.87E+02	3.88E+01	-1.06E-05	1.87E+02
1,1,925	-1.21E-04	9.05E-10	1.87E+02	3.88E+01	-4.24E-06	1.87E+02
1,1,926	-1.19E-04	8.54E-10	1.87E+02	3.89E+01	5.63E-06	1.87E+02
1,1,927	-1.22E-04	8.92E-10	1.87E+02	3.89E+01	-1.45E-06	1.87E+02
1,1,928	-1.21E-04	8.29E-10	1.88E+02	3.89E+01	-7.49E-06	1.88E+02
1,1,929	-1.23E-04	8.91E-10	1.88E+02	3.90E+01	-1.02E-05	1.88E+02
1,1,930	-1.23E-04	8.75E-10	1.88E+02	3.90E+01	-3.99E-06	1.88E+02
1,1,931	-1.22E-04	8.69E-10	1.88E+02	3.91E+01	-1.14E-05	1.88E+02
1,1,932	-1.24E-04	8.94E-10	1.88E+02	3.91E+01	-7.39E-06	1.88E+02
1,1,933	-1.22E-04	8.75E-10	1.89E+02	3.91E+01	-1.10E-06	1.89E+02
1,1,934	-1.23E-04	8.33E-10	1.89E+02	3.92E+01	6.76E-06	1.89E+02
1,1,935	-1.20E-04	9.16E-10	1.89E+02	3.92E+01	1.17E-05	1.89E+02
1,1,936	-1.17E-04	9.16E-10	1.89E+02	3.93E+01	1.18E-05	1.89E+02
1,1,937	-1.22E-04	9.21E-10	1.89E+02	3.93E+01	6.87E-06	1.89E+02
1,1,938	-1.20E-04	9.38E-10	1.90E+02	3.94E+01	-2.50E-07	1.90E+02
1,1,939	-1.26E-04	8.77E-10	1.90E+02	3.94E+01	-7.36E-06	1.90E+02
1,1,940	-1.22E-04	9.50E-10	1.90E+02	3.94E+01	-1.11E-05	1.90E+02
1,1,941	-1.25E-04	9.80E-10	1.90E+02	3.95E+01	-1.08E-05	1.90E+02
1,1,942	-1.22E-04	9.67E-10	1.90E+02	3.95E+01	-4.76E-06	1.90E+02
1,1,943	-1.21E-04	9.88E-10	1.91E+02	3.96E+01	2.17E-06	1.91E+02
1,1,944	-1.24E-04	9.96E-10	1.91E+02	3.96E+01	8.26E-06	1.91E+02
1,1,945	-1.21E-04	9.79E-10	1.91E+02	3.96E+01	1.20E-05	1.91E+02
1,1,946	-1.20E-04	1.06E-09	1.91E+02	3.97E+01	1.16E-05	1.91E+02
1,1,947	-1.21E-04	1.06E-09	1.91E+02	3.97E+01	5.43E-06	1.91E+02
1,1,948	-1.21E-04	1.10E-09	1.92E+02	3.98E+01	-1.74E-06	1.92E+02
1,1,949	-1.24E-04	1.05E-09	1.92E+02	3.98E+01	-7.77E-06	1.92E+02
1,1,950	-1.21E-04	1.12E-09	1.92E+02	3.99E+01	-1.17E-05	1.92E+02
1,1,951	-1.27E-04	1.16E-09	1.92E+02	3.99E+01	-1.08E-05	1.92E+02
1,1,952	-1.22E-04	1.14E-09	1.92E+02	3.99E+01	-4.81E-06	1.92E+02
1,1,953	-1.23E-04	1.18E-09	1.93E+02	4.00E+01	2.11E-06	1.93E+02
1,1,954	-1.23E-04	1.19E-09	1.93E+02	4.00E+01	8.21E-06	1.93E+02
1,1,955	-1.20E-04	1.17E-09	1.93E+02	4.01E+01	1.20E-05	1.93E+02
1,1,956	-1.21E-04	1.28E-09	1.93E+02	4.01E+01	1.17E-05	1.93E+02
1,1,957	-1.19E-04	1.27E-09	1.93E+02	4.02E+01	5.75E-06	1.93E+02
1,1,958	-1.23E-04	1.33E-09	1.94E+02	4.02E+01	-1.35E-06	1.94E+02
1,1,959	-1.20E-04	1.37E-09	1.94E+02	4.02E+01	-1.02E-05	1.94E+02
1,1,960	-1.24E-04	1.36E-09	1.94E+02	4.03E+01	-1.23E-05	1.94E+02
1,1,961	-1.22E-04	1.40E-09	1.94E+02	4.03E+01	-8.99E-06	1.94E+02
1,1,962	-1.23E-04	1.39E-09	1.94E+02	4.04E+01	-2.35E-06	1.94E+02
1,1,963	-1.25E-04	1.43E-09	1.95E+02	4.04E+01	5.38E-06	1.95E+02
1,1,964	-1.21E-04	1.44E-09	1.95E+02	4.04E+01	1.08E-05	1.95E+02
1,1,965	-1.23E-04	1.47E-09	1.95E+02	4.05E+01	1.28E-05	1.95E+02
1,1,966	-1.21E-04	1.51E-09	1.95E+02	4.05E+01	9.78E-06	1.95E+02
1,1,967	-1.23E-04	1.54E-09	1.95E+02	4.06E+01	3.00E-06	1.95E+02
1,1,968	-1.22E-04	1.60E-09	1.96E+02	4.06E+01	-5.44E-06	1.96E+02
1,1,969	-1.21E-04	1.63E-09	1.96E+02	4.07E+01	-1.06E-05	1.96E+02
1,1,970	-1.27E-04	1.65E-09	1.96E+02	4.07E+01	-1.18E-05	1.96E+02
1,1,971	-1.21E-04	1.65E-09	1.96E+02	4.07E+01	-7.83E-06	1.96E+02
1,1,972	-1.22E-04	1.66E-09	1.96E+02	4.08E+01	-1.47E-06	1.96E+02
1,1,973	-1.24E-04	1.68E-09	1.97E+02	4.08E+01	6.42E-06	1.97E+02
1,1,974	-1.20E-04	1.69E-09	1.97E+02	4.09E+01	1.11E-05	1.97E+02
1,1,975	-1.24E-04	1.72E-09	1.97E+02	4.09E+01	1.25E-05	1.97E+02
1,1,976	-1.22E-04	1.75E-09	1.97E+02	4.10E+01	9.15E-06	1.97E+02
1,1,977	-1.22E-04	1.80E-09	1.97E+02	4.10E+01	2.26E-06	1.97E+02
1,1,978	-1.18E-04	1.88E-09	1.98E+02	4.10E+01	-9.46E-06	1.98E+02
1,1,979	-1.22E-04	1.86E-09	1.98E+02	4.11E+01	-2.67E-06	1.98E+02
1,1,980	-1.24E-04	1.92E-09	1.98E+02	4.11E+01	4.88E-06	1.98E+02
1,1,981	-1.22E-04	1.83E-09	1.98E+02	4.12E+01	1.10E-05	1.98E+02
1,1,982	-1.23E-04	1.84E-09	1.98E+02	4.12E+01	1.27E-05	1.98E+02
1,1,983	-1.22E-04	1.85E-09	1.99E+02	4.12E+01	1.20E-05	1.99E+02
1,1,984	-1.22E-04	1.83E-09	1.99E+02	4.13E+01	7.95E-06	1.99E+02
1,1,985	-1.26E-04	1.87E-09	1.99E+02	4.13E+01	1.19E-06	1.99E+02
1,1,986	-1.21E-04	1.97E-09	1.99E+02	4.14E+01	-6.71E-06	1.99E+02
1,1,987	-1.24E-04	1.97E-09	1.99E+02	4.14E+01	-1.09E-05	1.99E+02
1,1,988	-1.21E-04	2.00E-09	2.00E+02	4.15E+01	-1.13E-05	2.00E+02
1,1,989	-1.18E-04	2.00E-09	2.00E+02	4.15E+01	-7.14E-06	2.00E+02
1,1,990	-1.23E-04	2.00E-09	2.00E+02	4.15E+01	-5.98E-07	2.00E+02
1,1,991	-1.21E-04	2.01E-09	2.00E+02	4.16E+01	7.29E-06	2.00E+02
1,1,992	-1.25E-04	1.94E-09	2.00E+02	4.16E+01	1.14E-05	2.00E+02
1,1,993	-1.22E-04	1.89E-09	2.01E+02	4.17E+01	5.47E-06	2.01E+02
1,1,994	-1.24E-04	1.93E-09	2.01E+02	4.17E+01	-1.88E-06	2.01E+02
1,1,995	-1.24E-04	1.99E-09	2.01E+02	4.17E+01	-7.66E-06	2.01E+02
1,1,996	-1.21E-04	1.71E-09	2.01E+02	4.18E+01	-1.17E-05	2.01E+02
1,1,997	-1.23E-04	2.01E-09	2.01E+02	4.18E+01	-1.07E-05	2.01E+02
1,1,998	-1.18E-04	1.98E-09	2.02E+02	4.19E+01	-4.41E-06	2.02E+02
1,1,999	-1.21E-04	1.99E-09	2.02E+02	4.19E+01	2.44E-06	2.02E+02
1,1,1000	-1.20E-04	1.97E-09	2.02E+02	4.20E+01	8.37E-06	2.02E+02
1,1,1001	-1.19E-04	1.98E-09	2.02E+02	4.20E+01	1.21E-05	2.02E+02
